20%Customer#000000020%i bGScA%RUSSIA   0%RUSSIA         %
26%Customer#000000026%TFH OW1Me%RUSSIA   5%RUSSIA         %
66%Customer#000000066%4PzmA4jZm7Q%RUSSIA   4%RUSSIA         %
70%Customer#000000070%FlCviyJDjHCYkHoJ22Qw%RUSSIA   0%RUSSIA         %
83%Customer#000000083%kDJ7dqVuBD9lY,hqjW2%RUSSIA   0%RUSSIA         %
111%Customer#000000111%pp8Pbuc49CAFCHY8p%RUSSIA   9%RUSSIA         %
126%Customer#000000126%KQWmjFPuXGLrn2o bUnlN6%RUSSIA   7%RUSSIA         %
172%Customer#000000172%hvKNg7fZkY5QO%RUSSIA   8%RUSSIA         %
183%Customer#000000183%ReqpYb8PS%RUSSIA   8%RUSSIA         %
189%Customer#000000189%AVZj8Br9KSwaKlZp%RUSSIA   2%RUSSIA         %
195%Customer#000000195%5IAanTJzOthMGHeP8p%RUSSIA   7%RUSSIA         %
232%Customer#000000232%DqRC0Y2c3xZ sgceNN0OvB%RUSSIA   8%RUSSIA         %
275%Customer#000000275%fZ6o7h 1%RUSSIA   6%RUSSIA         %
286%Customer#000000286%UrTx5o BG4%RUSSIA   8%RUSSIA         %
332%Customer#000000332%iLCzA1kUsIRKTe,XiwouU%RUSSIA   3%RUSSIA         %
368%Customer#000000368%SBr9MmqWLzNg%RUSSIA   9%RUSSIA         %
371%Customer#000000371%ODuHo3vJx8kurRg4%RUSSIA   6%RUSSIA         %
374%Customer#000000374%MKWMGG6Z0%RUSSIA   0%RUSSIA         %
378%Customer#000000378%,XXzyBeRrf80QYp9FPEWSr%RUSSIA   4%RUSSIA         %
396%Customer#000000396%FImThAoNkBbGlWs3hYTyq%RUSSIA   5%RUSSIA         %
404%Customer#000000404%ZC Kwgh,VHdweYRZE%RUSSIA   7%RUSSIA         %
412%Customer#000000412%WidY21a JniY2p5lgInPfBs%RUSSIA   1%RUSSIA         %
490%Customer#000000490%sUULkYltPRXUO5a jR1X%RUSSIA   7%RUSSIA         %
547%Customer#000000547%XJr8gYN5Gm%RUSSIA   7%RUSSIA         %
642%Customer#000000642%V2ZKmk,KefK%RUSSIA   6%RUSSIA         %
665%Customer#000000665%mCRaKbznc%RUSSIA   0%RUSSIA         %
696%Customer#000000696%O2tHWRsd,mn%RUSSIA   5%RUSSIA         %
710%Customer#000000710%dof81y3vZqngrdfxFCLeH%RUSSIA   0%RUSSIA         %
720%Customer#000000720%TzJlmgThRzBZdh3aSN%RUSSIA   6%RUSSIA         %
839%Customer#000000839%pJSrv2GV6ghWVp8BZx1%RUSSIA   3%RUSSIA         %
840%Customer#000000840%SvqWFU,CGon4XkD3aw%RUSSIA   6%RUSSIA         %
850%Customer#000000850%lNJb5KR GbB8yrw,T1%RUSSIA   6%RUSSIA         %
868%Customer#000000868%PlkSlRVJZMsx%RUSSIA   4%RUSSIA         %
947%Customer#000000947%iDsn9vAovHabtMA%RUSSIA   1%RUSSIA         %
953%Customer#000000953%WjhaS7s88F,bhwY%RUSSIA   6%RUSSIA         %
996%Customer#000000996%uH 8HPkrs,aEVb2A5%RUSSIA   5%RUSSIA         %
1000%Customer#000001000%KseZzK7v%RUSSIA   2%RUSSIA         %
1062%Customer#000001062%Yc2 knhoZ%RUSSIA   1%RUSSIA         %
1065%Customer#000001065%BkpQT4,Nce gfx2qB%RUSSIA   6%RUSSIA         %
1088%Customer#000001088%3H3aydhCe,EJoFmu,04lOduw%RUSSIA   5%RUSSIA         %
1098%Customer#000001098%45hPZkua%RUSSIA   3%RUSSIA         %
